Age,Male_0%_Base,Male_0.5%,Male_1.0%,Male_2.0%,Female_0%_Base,Female_0.5%,Female_1.0%,Female_2.0%
104,0.5651919000000001,0.5623659405000001,0.559539981,0.5538880620000001,0.4575363,0.4552486185,0.452960937,0.448385574
105,0.6057891,0.6027601545,0.599731209,0.593673318,0.49040069999999997,0.48794869649999995,0.485496693,0.48059268599999994
106,0.6475896,0.644351652,0.641113704,0.634637808,0.5242391999999999,0.5216180039999999,0.5189968079999999,0.5137544159999999
107,0.69043065,0.68697849675,0.6835263435000001,0.676622037,0.55892005,0.55612544975,0.5533308495,0.547741649
108,0.7341505500000001,0.7304797972500001,0.7268090445000001,0.719467539,0.59431235,0.59134078825,0.5883692265,0.5824261030000001
109,0.7785907500000001,0.7746977962500001,0.7708048425000001,0.7630189350000001,0.63028775,0.62713631125,0.6239848725,0.617681995
110,0.8236021500000001,0.8194841392500002,0.8153661285000001,0.8071301070000001,0.66672555,0.66339192225,0.6600582945,0.653391039
111,0.86905665,0.8647113667499999,0.8603660835,0.851675517,0.70352205,0.70000443975,0.6964868295,0.689451609
112,0.9148492500000001,0.91027500375,0.9057007575,0.8965522650000001,0.74059225,0.7368892887499999,0.7331863274999999,0.725780405
113,0.9609022500000001,0.95609773875,0.9512932275,0.941684205,0.77787325,0.7739838837499999,0.7700945174999999,0.762315785
114,1.0,1.0,0.997102953,0.9870312059999999,0.8153319,0.8112552405,0.807178581,0.799025262
115,1.0,1.0,1.0,1.0,0.85,0.84575,0.8415,0.833
